year,value
1860,"3,4"
1861,"4,4"
1862,"3,5"
1863,"5,4"
1864,"3,2"
1865,"4,0"
1866,"4,0"
1867,"2,1"
1868,"5,0"
1869,"4,3"
1870,"3,6"
1871,"2,3"
1872,"5,2"
1873,"4,8"
1874,"4,6"
1875,"3,0"
1876,"3,5"
1877,"3,2"
1878,"4,9"
1879,"3,4"
1880,"4,3"
1881,"2,6"
1882,"5,1"
1883,"4,8"
1884,"4,7"
1885,"3,7"
1886,"4,5"
1887,"4,6"
1888,"2,6"
1889,"4,6"
1890,"4,9"
1891,"4,7"
1892,"3,4"
1893,"3,4"
1894,"5,5"
1895,"4,0"
1896,"5,2"
1897,"4,7"
1898,"4,6"
1899,"4,0"
1900,"3,8"
1901,"4,8"
1902,"2,9"
1903,"4,8"
1904,"4,1"
1905,"4,6"
1906,"5,2"
1907,"4,4"
1908,"4,6"
1909,"3,9"
1910,"5,3"
1911,"5,4"
1912,"4,2"
1913,"5,3"
1914,"5,8"
1915,"3,1"
1916,"4,4"
1917,"3,8"
1918,"4,8"
1919,"3,9"
1920,"5,6"
1921,"5,3"
1922,"3,8"
1923,"3,9"
1924,"4,5"
1925,"5,0"
1926,"4,4"
1927,"4,3"
1928,"4,1"
1929,"4,4"
1930,"6,0"
1931,"4,0"
1932,"5,5"
1933,"5,1"
1934,"6,7"
1935,"5,3"
1936,"5,4"
1937,"5,7"
1938,"6,6"
1939,"5,4"
1940,"3,3"
1941,"3,2"
1942,"2,9"
1943,"6,0"
1944,"5,5"
1945,"5,3"
1946,"5,0"
1947,"4,3"
1948,"5,4"
1949,"6,3"
1950,"5,2"
1951,"4,9"
1952,"3,9"
1953,"6,0"
1954,"4,7"
1955,"4,0"
1956,"3,4"
1957,"4,9"
1958,"4,0"
1959,"6,0"
1960,"4,7"
1961,"5,8"
1962,"3,9"
1963,"4,2"
1964,"4,9"
1965,"3,9"
1966,"3,5"
1967,"5,1"
1968,"4,4"
1969,"4,1"
1970,"3,7"
1971,"4,8"
1972,"5,4"
1973,"5,2"
1974,"5,8"
1975,"6,3"
1976,"4,2"
1977,"4,4"
1978,"4,0"
1979,"3,9"
1980,"3,9"
1981,"4,0"
1982,"5,1"
1983,"5,4"
1984,"5,3"
1985,"2,8"
1986,"4,2"
1987,"3,2"
1988,"5,2"
1989,"6,5"
1990,"6,6"
1991,"5,5"
1992,"6,04"
1993,"5,03"
1994,"5,21"
1995,"5,24"
1996,"4,36"
1997,"5,78"
1998,"4,93"
1999,"5,75"
2000,"6,54"
2001,"5,35"
2002,"5,99"
2003,"5,67"
2004,"5,57"
2005,"5,92"
2006,"6,32"
2007,"6,18"
2008,"6,37"
2009,"5,55"
2010,"3,77"
2011,"6,29"
2012,"5,17"
2013,"5,74"
2014,"6,91"
2015,"6,71"
2016,"6,15"
2017,"5,93"
2018,"6,45"
2019,"6,35"
